date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:06	76474/76474	---M--	200	added ('OK')	image/png	etag:%221519575786.0-76474-2129856846%22	https://the-wall-cricket.herokuapp.com/static/images/NEL.png	the-wall-cricket.herokuapp.com/static/images/NEL.png	(from https://the-wall-cricket.herokuapp.com/Rankings)
14:14:06	35284/35284	---M--	200	added ('OK')	image/png	etag:%221519575786.0-35284-2130708817%22	https://the-wall-cricket.herokuapp.com/static/images/HOK.png	the-wall-cricket.herokuapp.com/static/images/HOK.png	(from https://the-wall-cricket.herokuapp.com/Rankings)
14:14:07	36810/36810	---M--	200	added ('OK')	image/png	etag:%221519575786.0-36810-2132674900%22	https://the-wall-cricket.herokuapp.com/static/images/PNG.png	the-wall-cricket.herokuapp.com/static/images/PNG.png	(from https://the-wall-cricket.herokuapp.com/Rankings)
14:14:07	198829/198829	---M--	200	added ('OK')	image/png	etag:%221519575786.0-198829-2129201482%22	https://the-wall-cricket.herokuapp.com/static/images/UAE.png	the-wall-cricket.herokuapp.com/static/images/UAE.png	(from https://the-wall-cricket.herokuapp.com/Rankings)
14:14:07	36155/36155	---M--	200	added ('OK')	image/png	etag:%221519575786.0-36155-2134116697%22	https://the-wall-cricket.herokuapp.com/static/images/OMN.png	the-wall-cricket.herokuapp.com/static/images/OMN.png	(from https://the-wall-cricket.herokuapp.com/Rankings)
14:14:08	52841/52841	---M--	200	added ('OK')	image/png	etag:%221519575786.0-52841-2132019539%22	https://the-wall-cricket.herokuapp.com/static/images/QGL.png	the-wall-cricket.herokuapp.com/static/images/QGL.png	(from https://the-wall-cricket.herokuapp.com/Points-Table)
14:14:08	71754/71754	---M--	200	added ('OK')	image/png	etag:%221519575786.0-71754-2293303724%22	https://the-wall-cricket.herokuapp.com/static/images/ISLU.png	the-wall-cricket.herokuapp.com/static/images/ISLU.png	(from https://the-wall-cricket.herokuapp.com/Points-Table)
14:14:08	39535/39535	---M--	200	added ('OK')	image/png	etag:%221519575786.0-39535-2133657944%22	https://the-wall-cricket.herokuapp.com/static/images/LQL.png	the-wall-cricket.herokuapp.com/static/images/LQL.png	(from https://the-wall-cricket.herokuapp.com/Points-Table)
14:14:09	50081/50081	---M--	200	added ('OK')	image/png	etag:%221519575786.0-50081-1981614348%22	https://the-wall-cricket.herokuapp.com/static/images/QL.png	the-wall-cricket.herokuapp.com/static/images/QL.png	(from https://the-wall-cricket.herokuapp.com/Points-Table)
14:14:09	46634/46634	---M--	200	added ('OK')	image/png	etag:%221519575786.0-46634-2133330263%22	https://the-wall-cricket.herokuapp.com/static/images/TAS.png	the-wall-cricket.herokuapp.com/static/images/TAS.png	(from https://the-wall-cricket.herokuapp.com/Points-Table)
14:14:10	59413/59413	---M--	200	added ('OK')	image/png	etag:%221519575786.0-59413-2138966375%22	https://the-wall-cricket.herokuapp.com/static/images/NSW.png	the-wall-cricket.herokuapp.com/static/images/NSW.png	(from https://the-wall-cricket.herokuapp.com/Points-Table)
14:14:10	76826/76826	---M--	200	added ('OK')	image/png	etag:%221519575786.0-76826-2293172651%22	https://the-wall-cricket.herokuapp.com/static/images/SAUS.png	the-wall-cricket.herokuapp.com/static/images/SAUS.png	(from https://the-wall-cricket.herokuapp.com/Points-Table)
14:14:11	12089/12089	---M--	200	added ('OK')	image/jpeg	etag:%221519575786.0-12089-2131233101%22	https://the-wall-cricket.herokuapp.com/static/images/VIC.jpg	the-wall-cricket.herokuapp.com/static/images/VIC.jpg	(from https://the-wall-cricket.herokuapp.com/Points-Table)
14:14:11	236597/236597	---M--	200	added ('OK')	image/png	etag:%221519575786.0-236597-1980369159%22	https://the-wall-cricket.herokuapp.com/static/images/WA.png	the-wall-cricket.herokuapp.com/static/images/WA.png	(from https://the-wall-cricket.herokuapp.com/Points-Table)
